,distinct_id,locationSetting,notificationSettings,active_timespan,average_session_time,US,Facebook,Foodie,Google,Unknown,num_sessions,sessions_per_day,America/New_York,America/Los_Angeles,America/Chicago,Asia/Kolkata,America/Denver,other_timezone,commentAdded,commentLength,churned
98476,039c49f6-07e1-4fda-b51c-0fd7fbb305b8,1,1,0.010219907407407407,,1,0,1,0,0,2,0.011111111111111112,0,0,0,0,0,1,0,0.0,1
105572,03A3FEC0-3698-412A-A8A3-11A3C98B38A4,1,0,189.77680555555557,11.0,1,0,1,0,1,4,0.022222222222222223,1,0,0,0,0,0,0,0.0,0
68309,03A6BD06-3E16-4568-9DD0-11F72EECE86E,1,1,0.0,,1,0,1,0,0,1,0.005555555555555556,0,0,0,0,0,1,0,0.0,0
86734,03B6BD50-E68E-4CC6-ACD1-38476B62E2D7,1,0,35.90934027777778,,1,0,1,0,1,1,0.005555555555555556,0,1,0,0,0,0,0,0.0,1
59671,03BA2700-1A28-4944-B7D7-9F07CC08CE04,1,0,107.37792824074074,65.4,0,0,1,0,1,2,0.011111111111111112,0,0,0,0,0,1,0,0.0,1
77552,03BF3D2C-1334-4C31-92F3-752C04641341,1,1,0.0,,1,0,1,0,0,1,0.005555555555555556,0,0,0,0,0,1,0,0.0,0
76405,03C2A5C7-6BD0-4DFE-8752-64029BA8C925,1,1,0.0,,1,0,1,0,0,1,0.005555555555555556,0,0,0,0,0,1,0,0.0,0
96404,03D4F06B-8EBE-4560-BA97-04A1911B7775,1,1,267.9416435185185,15.0,1,0,1,0,1,1,0.005555555555555556,1,0,0,0,0,0,0,0.0,0
94027,03E38D23-416B-4B69-81CD-79C5E37AC886,1,0,154.38952546296295,69.0,2,0,1,0,1,4,0.022222222222222223,1,0,0,0,0,0,0,0.0,0
105316,03E7E7E0-DA9B-43D7-BBC1-72786292792D,1,1,0.5833217592592592,,0,0,1,0,1,1,0.005555555555555556,0,0,0,0,0,1,0,0.0,1
101966,03EA378B-63E4-42F3-97ED-76EB4DF65822,1,0,29.44878472222222,58.92307692307693,1,0,1,0,1,63,0.35,1,0,0,0,0,0,0,0.0,0
96084,03F32D9C-DEBB-44C1-9DAA-A76CA8178830,1,0,366.10552083333334,86.0,2,0,1,0,1,2,0.011111111111111112,1,0,0,0,0,0,0,0.0,0
77653,03F3CD96-F946-4B8C-9DE6-528683A95C31,1,1,7.808634259259259,,1,0,1,0,0,2,0.011111111111111112,0,0,0,0,0,1,0,0.0,1
85031,03F850CF-4444-4B80-BE17-A5F853D35585,1,0,0.29180555555555554,11.0,1,0,1,0,1,1,0.005555555555555556,0,0,1,0,0,0,0,0.0,1
97814,03FAA7EC-49F7-480B-BF0C-EB89C81BE20A,1,1,0.3427662037037037,26.0,1,0,1,0,1,11,0.06111111111111111,1,0,0,0,0,0,0,0.0,1
78460,03a3d472-68ff-4c83-9bd5-c80e87ae263a,1,1,0.051550925925925924,,0,0,1,0,0,3,0.016666666666666666,0,0,0,0,0,1,0,0.0,1
68533,04207B7A-95EA-4AF0-9443-EDE407D3B42B,1,1,48.250590277777775,26.444444444444446,1,0,1,0,1,78,0.43333333333333335,1,0,0,0,0,0,0,0.0,0
188948,04242E1E-1CF2-493A-AB13-DE2FB7CB4029,1,0,201.47233796296297,45.04166666666666,1,0,1,0,1,156,0.8666666666666667,0,0,1,0,0,0,0,0.0,0
67789,0425268D-9B50-4A30-901C-969C775A9D07,1,0,26.74685185185185,,0,0,1,0,0,2,0.011111111111111112,0,0,0,0,0,1,0,0.0,1
153488,0428E3AC-F7C3-491D-99A9-CDF00B57C806,1,0,51.752372685185186,139.0,1,0,0,1,1,124,0.6888888888888889,0,0,0,0,0,1,0,0.0,0
128875,0432DE80-A854-47D8-ADEB-84536B8BEF1D,1,1,12.9884375,42.5,1,1,0,0,1,12,0.06666666666666667,0,0,1,0,0,0,0,0.0,1
102942,0438C80A-12DC-4212-9266-EBAE8C08FD37,1,1,0.0,,1,0,1,0,0,1,0.005555555555555556,0,0,0,0,0,1,0,0.0,0
185273,0441C207-5360-44BD-AD30-3876F155FAEB,1,0,0.29247685185185185,17.333333333333332,1,0,0,1,1,13,0.07222222222222222,0,0,1,0,0,0,0,0.0,1
85606,04429AA2-5987-4E4D-9A2E-1F3CF913B4B6,1,0,0.0,,1,0,1,0,0,1,0.005555555555555556,0,0,0,0,0,1,0,0.0,0
92310,0445D8B4-9A92-48D8-B585-F1AA4D00BF22,1,1,227.498125,48.77777777777778,1,0,1,0,1,75,0.4166666666666667,1,0,0,0,0,0,0,0.0,0
103029,0453D969-850E-40B1-A50E-1214B1F19596,1,0,2.4316666666666666,,1,1,0,0,1,22,0.12222222222222222,1,0,0,0,0,0,0,0.0,1
168343,0453E507-17DB-4516-84B2-2F180CC21256,1,0,188.54061342592593,81.75,1,0,1,0,1,12,0.06666666666666667,1,0,0,0,0,0,0,0.0,0
68212,045d7082-d08d-4e5f-8039-864a358dec44,1,0,0.0007291666666666667,,1,0,1,0,0,2,0.011111111111111112,0,0,0,0,0,1,0,0.0,1
185390,046B41E3-191A-49F3-9EDE-780898F29DA9,1,0,82.70197916666666,136.5,1,0,1,0,1,42,0.23333333333333334,1,0,0,0,0,0,0,0.0,0
38657,046F0AC4-47E0-4280-BB83-21C04BB4CCAD,0,1,83.70143518518519,46.4,1,0,1,0,1,37,0.20555555555555555,0,0,1,0,0,0,0,0.0,0
